,Name,ISIN,coupon,issue date,last coupon date,maturity date,month_to_maturity,Clean1.10,Clean1.11,Clean1.12,Clean1.13,Clean1.14,Clean1.17,Clean1.18,Clean1.19,Clean1.20,Clean1.21,Clean1.24
25,CAN 1.25 Mar 25,CA135087K528,0.0125,2019-10-10,2021-09-01,2025-03-01,38,99.1913698630137,99.21794520547945,99.15452054794521,99.13109589041096,99.02767123287671,98.77739726027397,98.64397260273974,98.63054794520548,98.61712328767123,98.77369863013699,98.87342465753426
26,CAN 0.5 Sept 25,CA135087K940,0.005,2020-04-03,2021-09-01,2025-09-01,44,96.48054794520547,96.53917808219178,96.58780821917807,96.58643835616438,96.4950684931507,96.24095890410959,96.0695890410959,95.9582191780822,95.99684931506849,96.1154794520548,96.2913698630137
27,CAN 0.5 Dec 30,CA135087L443,0.005,2020-10-04,2021-12-01,2030-12-01,108,90.15520547945205,90.30383561643835,90.19246575342466,90.22109589041096,89.98972602739725,89.52561643835617,89.22424657534248,89.13287671232877,89.18150684931507,89.72013698630137,90.04602739726027
28,CAN 0.25 Mar 26,CA135087L518,0.0025,2020-10-08,2021-09-01,2026-03-01,50,95.02027397260274,95.07958904109589,95.02890410958905,95.04821917808219,94.94753424657534,94.65547945205479,94.43479452054795,94.4041095890411,94.42342465753424,94.6027397260274,94.77068493150685
29,CAN 1 Sept 26,CA135087L930,0.01,2021-04-16,2021-09-01,2026-09-01,56,97.30109589041095,97.33835616438357,97.30561643835617,97.32787671232876,97.21513698630136,96.86191780821918,96.63917808219178,96.57643835616437,96.61369863013698,96.83595890410959,97.0027397260274
30,CAN 1.5 Jun 31,CA135087M276,0.015,2021-04-26,2021-12-01,2031-06-01,114,97.83561643835617,98.01150684931507,97.84739726027397,97.91328767123288,97.62917808219179,97.1468493150685,96.7727397260274,96.7086301369863,96.7545205479452,97.2604109589041,97.69808219178083
31,CAN 1.25 Mar 27,CA135087M847,0.0125,2021-10-15,2021-09-01,2027-03-01,62,97.9613698630137,98.01794520547945,97.94452054794522,97.98109589041096,97.84767123287672,97.48239726027397,97.22397260273974,97.18054794520548,97.20212328767124,97.45369863013698,97.68842465753426
32,CAN 1.5 Dec 31,CA135087N266,0.015,2021-10-24,2021-12-01,2031-12-01,120,97.23561643835617,97.42150684931507,97.24739726027397,97.32328767123288,97.02917808219178,96.5368493150685,96.15273972602739,96.0986301369863,96.1445205479452,96.69041095890411,97.13808219178082
33,CAN 9 Jun 25,CA135087VH40,0.09,1994-08-02,2021-12-01,2025-06-01,41,124.15369863013699,124.15904109589042,124.05438356164385,123.94972602739726,124.82506849315068,123.42109589041095,123.18643835616439,123.08178082191782,123.01712328767124,123.14246575342466,123.16849315068494
34,CAN 8 Jun 27,CA135087VW17,0.08,1996-04-30,2021-12-01,2027-06-01,65,132.42328767123288,132.4713698630137,132.37945205479454,132.27753424657533,132.09561643835616,131.56986301369864,131.22794520547944,131.09602739726026,131.0641095890411,131.38219178082193,131.4964383561644
35,CAN 5.75 Jun 29,CA135087WL43,0.0575,1998-02-01,2021-12-01,2029-06-01,90,128.1598630136986,128.27410958904107,128.12835616438355,128.10260273972602,127.8268493150685,127.29958904109589,126.88383561643836,126.77808219178083,126.78232876712327,127.28657534246575,127.56931506849314
